"","Date","Page.Loads","Unique.Visits","First.Time.Visits","Returning.Visits"
"79","12/1/2014","5,266","3,877","3,317","560"
"80","12/2/2014","5,795","4,274","3,700","574"
"81","12/3/2014","5,728","4,217","3,656","561"
"82","12/4/2014","5,293","3,830","3,295","535"
"83","12/5/2014","3,934","2,856","2,479","377"
"84","12/6/2014","3,071","2,165","1,855","310"
"85","12/7/2014","3,876","2,984","2,582","402"
"86","12/8/2014","5,878","4,375","3,829","546"
"87","12/9/2014","5,712","4,187","3,635","552"
"88","12/10/2014","5,491","4,074","3,480","594"
"89","12/11/2014","5,144","3,801","3,247","554"
"90","12/12/2014","3,880","2,860","2,418","442"
"91","12/13/2014","2,605","1,838","1,538","300"
"92","12/14/2014","3,625","2,650","2,259","391"
"93","12/15/2014","4,685","3,478","3,000","478"
"94","12/16/2014","4,891","3,338","2,861","477"
"95","12/17/2014","4,222","3,053","2,606","447"
"96","12/18/2014","3,691","2,690","2,275","415"
"97","12/19/2014","2,748","1,879","1,559","320"
"98","12/20/2014","1,380","1,011","836","175"
"99","12/21/2014","1,474","1,054","876","178"
"100","12/22/2014","2,452","1,715","1,394","321"
"101","12/23/2014","2,298","1,440","1,159","281"
"102","12/24/2014","1,430","947","772","175"
"103","12/25/2014","1,002","667","522","145"
"104","12/26/2014","1,486","1,005","808","197"
"105","12/27/2014","1,345","941","781","160"
"106","12/28/2014","1,453","948","765","183"
"107","12/29/2014","2,173","1,472","1,228","244"
"108","12/30/2014","2,208","1,424","1,172","252"
"109","12/31/2014","1,381","955","773","182"
"110","1/1/2015","1,265","876","715","161"
"111","1/2/2015","1,948","1,288","1,030","258"
"112","1/3/2015","1,742","1,096","946","150"
"113","1/4/2015","1,896","1,409","1,186","223"
"114","1/5/2015","3,033","2,062","1,706","356"
"115","1/6/2015","3,445","2,327","1,942","385"
"116","1/7/2015","3,423","2,384","1,991","393"
"117","1/8/2015","3,319","2,272","1,922","350"
"118","1/9/2015","2,783","1,941","1,663","278"
"119","1/10/2015","1,952","1,240","1,066","174"
"120","1/11/2015","2,245","1,611","1,391","220"
"121","1/12/2015","3,928","2,518","2,125","393"
"122","1/13/2015","3,810","2,621","2,239","382"
"123","1/14/2015","3,931","2,656","2,229","427"
"124","1/15/2015","3,523","2,457","2,069","388"
"125","1/16/2015","2,943","1,928","1,640","288"
"126","1/17/2015","1,751","1,237","1,052","185"
"127","1/18/2015","2,491","1,762","1,541","221"
"128","1/19/2015","3,766","2,665","2,271","394"
"129","1/20/2015","4,194","2,852","2,423","429"
"130","1/21/2015","4,038","2,916","2,482","434"
"131","1/22/2015","3,891","2,702","2,334","368"
"132","1/23/2015","3,111","2,181","1,897","284"
"133","1/24/2015","1,946","1,414","1,239","175"
"134","1/25/2015","2,802","2,010","1,740","270"
"135","1/26/2015","3,892","2,841","2,466","375"
"136","1/27/2015","4,172","3,003","2,592","411"
"137","1/28/2015","4,464","3,280","2,862","418"
"138","1/29/2015","4,377","3,143","2,679","464"
"139","1/30/2015","3,734","2,514","2,129","385"
"140","1/31/2015","2,262","1,657","1,443","214"
"141","2/1/2015","3,050","2,122","1,825","297"
"142","2/2/2015","4,794","3,366","2,867","499"
"143","2/3/2015","4,936","3,423","2,922","501"
"144","2/4/2015","5,016","3,500","3,023","477"
"145","2/5/2015","4,489","3,170","2,753","417"
"146","2/6/2015","3,505","2,468","2,075","393"
"147","2/7/2015","2,264","1,679","1,437","242"
"148","2/8/2015","3,314","2,435","2,100","335"
"149","2/9/2015","5,095","3,619","3,125","494"
"150","2/10/2015","5,525","3,793","3,272","521"
"151","2/11/2015","5,074","3,689","3,190","499"
"152","2/12/2015","4,571","3,319","2,810","509"
"153","2/13/2015","3,570","2,664","2,253","411"
"154","2/14/2015","2,182","1,565","1,323","242"
"155","2/15/2015","3,265","2,277","1,935","342"
"156","2/16/2015","4,670","3,297","2,826","471"
"157","2/17/2015","4,764","3,452","2,957","495"
"158","2/18/2015","4,943","3,526","3,026","500"
"159","2/19/2015","4,790","3,307","2,811","496"
"160","2/20/2015","3,604","2,621","2,241","380"
"161","2/21/2015","2,455","1,823","1,569","254"
"162","2/22/2015","3,650","2,690","2,329","361"
"163","2/23/2015","5,463","3,975","3,433","542"
"164","2/24/2015","5,884","4,112","3,542","570"
"165","2/25/2015","5,615","4,019","3,432","587"
"166","2/26/2015","5,289","3,747","3,186","561"
"167","2/27/2015","4,434","2,969","2,486","483"
"168","2/28/2015","2,665","1,977","1,694","283"
"169","3/1/2015","3,907","2,906","2,519","387"
"170","3/2/2015","5,308","3,778","3,222","556"
"171","3/3/2015","5,773","4,025","3,490","535"
"172","3/4/2015","5,585","4,060","3,457","603"
"173","3/5/2015","4,783","3,582","3,049","533"
"174","3/6/2015","3,893","2,707","2,259","448"
"175","3/7/2015","2,917","2,048","1,723","325"
"176","3/8/2015","3,353","2,468","2,104","364"
"177","3/9/2015","5,400","3,824","3,246","578"
"178","3/10/2015","5,395","3,926","3,350","576"
"179","3/11/2015","5,229","3,859","3,263","596"
"180","3/12/2015","5,371","3,784","3,204","580"
"181","3/13/2015","4,185","3,045","2,559","486"
"182","3/14/2015","2,724","1,988","1,675","313"
"183","3/15/2015","3,590","2,620","2,196","424"
"184","3/16/2015","5,367","3,771","3,192","579"
"185","3/17/2015","5,440","3,968","3,387","581"
"186","3/18/2015","5,465","4,043","3,458","585"
"187","3/19/2015","5,318","3,813","3,262","551"
"188","3/20/2015","4,225","2,916","2,462","454"
"189","3/21/2015","2,687","1,975","1,667","308"
"190","3/22/2015","3,791","2,786","2,388","398"
"191","3/23/2015","5,661","3,949","3,331","618"
"192","3/24/2015","5,759","4,081","3,487","594"
"193","3/25/2015","5,599","3,983","3,378","605"
"194","3/26/2015","5,103","3,755","3,184","571"
"195","3/27/2015","4,313","2,946","2,446","500"
"196","3/28/2015","2,971","2,011","1,651","360"
"197","3/29/2015","3,662","2,693","2,285","408"
"198","3/30/2015","5,635","3,985","3,386","599"
"199","3/31/2015","5,581","3,963","3,359","604"
"200","4/1/2015","5,329","3,761","3,170","591"
"201","4/2/2015","4,553","3,214","2,710","504"
"202","4/3/2015","3,423","2,404","1,988","416"
"203","4/4/2015","2,708","1,807","1,512","295"
"204","4/5/2015","3,306","2,266","1,895","371"
"205","4/6/2015","5,203","3,692","3,133","559"
"206","4/7/2015","5,712","4,104","3,456","648"
"207","4/8/2015","5,601","4,015","3,401","614"
"208","4/9/2015","5,486","4,063","3,430","633"
"209","4/10/2015","4,178","3,213","2,697","516"
"210","4/11/2015","2,878","2,153","1,835","318"
"211","4/12/2015","4,169","2,903","2,447","456"
"212","4/13/2015","6,372","4,485","3,787","698"
"213","4/14/2015","6,240","4,391","3,698","693"
"214","4/15/2015","6,170","4,409","3,723","686"
"215","4/16/2015","6,071","4,275","3,586","689"
"216","4/17/2015","4,682","3,307","2,741","566"
"217","4/18/2015","3,208","2,291","1,894","397"
"218","4/19/2015","4,310","3,144","2,669","475"
"219","4/20/2015","6,435","4,694","3,929","765"
"220","4/21/2015","6,299","4,455","3,769","686"
"221","4/22/2015","6,360","4,512","3,797","715"
"222","4/23/2015","6,349","4,360","3,664","696"
"223","4/24/2015","4,660","3,387","2,845","542"
"224","4/25/2015","3,354","2,420","2,035","385"
"225","4/26/2015","4,371","3,189","2,688","501"
"226","4/27/2015","6,534","4,731","3,977","754"
"227","4/28/2015","6,832","4,941","4,161","780"
"228","4/29/2015","6,689","4,870","4,110","760"
"229","4/30/2015","5,849","4,086","3,450","636"
"230","5/1/2015","4,247","3,064","2,562","502"
"231","5/2/2015","3,219","2,360","1,958","402"
"232","5/3/2015","4,211","3,210","2,765","445"
"233","5/4/2015","6,424","4,752","4,043","709"
"234","5/5/2015","6,223","4,520","3,818","702"
"235","5/6/2015","6,551","4,768","4,059","709"
"236","5/7/2015","6,343","4,449","3,770","679"
"237","5/8/2015","4,696","3,366","2,824","542"
"238","5/9/2015","3,134","2,239","1,846","393"
"239","5/10/2015","3,868","2,844","2,365","479"
"240","5/11/2015","6,020","4,482","3,787","695"
"241","5/12/2015","5,705","4,160","3,490","670"
"242","5/13/2015","5,752","4,016","3,348","668"
"243","5/14/2015","5,181","3,605","3,008","597"
"244","5/15/2015","4,269","2,913","2,404","509"
"245","5/16/2015","2,633","1,818","1,473","345"
"246","5/17/2015","3,336","2,376","1,988","388"
"247","5/18/2015","5,127","3,587","2,955","632"
"248","5/19/2015","5,449","3,767","3,149","618"
"249","5/20/2015","5,746","3,956","3,371","585"
"250","5/21/2015","5,115","3,642","3,046","596"
"251","5/22/2015","3,995","2,749","2,243","506"
"252","5/23/2015","2,618","1,884","1,585","299"
"253","5/24/2015","2,961","2,117","1,763","354"
"254","5/25/2015","4,090","2,913","2,427","486"
"255","5/26/2015","5,201","3,637","3,073","564"
"256","5/27/2015","5,321","3,797","3,146","651"
"257","5/28/2015","5,219","3,509","2,887","622"
"258","5/29/2015","4,017","2,804","2,338","466"
"259","5/30/2015","2,297","1,629","1,346","283"
"260","5/31/2015","3,145","2,226","1,860","366"
"261","6/1/2015","4,905","3,419","2,797","622"
"262","6/2/2015","4,747","3,284","2,701","583"
"263","6/3/2015","4,591","3,317","2,713","604"
"264","6/4/2015","4,431","3,173","2,652","521"
"265","6/5/2015","3,608","2,523","2,068","455"
"266","6/6/2015","2,422","1,673","1,336","337"
"267","6/7/2015","3,132","2,145","1,790","355"
"268","6/8/2015","4,962","3,377","2,788","589"
"269","6/9/2015","4,881","3,469","2,862","607"
"270","6/10/2015","5,001","3,425","2,786","639"
"271","6/11/2015","4,635","3,242","2,614","628"
"272","6/12/2015","3,545","2,494","2,066","428"
"273","6/13/2015","2,262","1,490","1,235","255"
"274","6/14/2015","2,866","2,034","1,692","342"
"275","6/15/2015","4,692","3,261","2,682","579"
"276","6/16/2015","4,602","3,204","2,660","544"
"277","6/17/2015","4,620","3,101","2,556","545"
"278","6/18/2015","4,475","2,955","2,386","569"
"279","6/19/2015","3,564","2,422","1,954","468"
"280","6/20/2015","2,071","1,370","1,129","241"
"281","6/21/2015","2,659","1,840","1,523","317"
"282","6/22/2015","4,338","2,963","2,410","553"
"283","6/23/2015","4,531","3,139","2,566","573"
"284","6/24/2015","4,498","3,022","2,481","541"
"285","6/25/2015","4,128","2,730","2,210","520"
"286","6/26/2015","3,132","2,153","1,721","432"
"287","6/27/2015","1,829","1,264","1,067","197"
"288","6/28/2015","2,149","1,517","1,224","293"
"289","6/29/2015","3,975","2,691","2,169","522"
"290","6/30/2015","4,046","2,718","2,180","538"
"291","7/1/2015","3,897","2,745","2,266","479"
"292","7/2/2015","3,871","2,540","2,072","468"
"293","7/3/2015","2,630","1,716","1,353","363"
"294","7/4/2015","1,602","1,104","900","204"
"295","7/5/2015","1,960","1,370","1,141","229"
"296","7/6/2015","4,143","2,655","2,171","484"
"297","7/7/2015","4,205","2,789","2,266","523"
"298","7/8/2015","4,193","2,783","2,255","528"
"299","7/9/2015","3,710","2,536","2,069","467"
"300","7/10/2015","3,137","2,203","1,767","436"
"301","7/11/2015","1,834","1,145","944","201"
"302","7/12/2015","2,070","1,473","1,197","276"
"303","7/13/2015","4,180","2,852","2,310","542"
"304","7/14/2015","4,038","2,731","2,226","505"
"305","7/15/2015","3,906","2,667","2,119","548"
"306","7/16/2015","3,580","2,424","1,940","484"
"307","7/17/2015","2,948","2,070","1,708","362"
"308","7/18/2015","1,622","1,121","924","197"
"309","7/19/2015","2,179","1,480","1,214","266"
"310","7/20/2015","3,906","2,615","2,146","469"
"311","7/21/2015","3,745","2,596","2,071","525"
"312","7/22/2015","4,212","2,761","2,205","556"
"313","7/23/2015","3,901","2,595","2,095","500"
"314","7/24/2015","3,292","2,207","1,785","422"
"315","7/25/2015","1,819","1,229","1,016","213"
"316","7/26/2015","2,068","1,562","1,286","276"
"317","7/27/2015","3,991","2,805","2,243","562"
"318","7/28/2015","4,073","2,862","2,361","501"
"319","7/29/2015","4,069","2,825","2,324","501"
"320","7/30/2015","3,716","2,629","2,126","503"
"321","7/31/2015","3,380","2,120","1,709","411"
"322","8/1/2015","1,737","1,197","958","239"
"323","8/2/2015","2,181","1,567","1,282","285"
"324","8/3/2015","3,973","2,794","2,263","531"
"325","8/4/2015","3,997","2,794","2,269","525"
"326","8/5/2015","4,132","2,798","2,287","511"
"327","8/6/2015","3,791","2,693","2,204","489"
"328","8/7/2015","2,968","2,139","1,738","401"
"329","8/8/2015","1,752","1,266","1,021","245"
"330","8/9/2015","2,070","1,497","1,231","266"
"331","8/10/2015","3,920","2,684","2,139","545"
"332","8/11/2015","4,106","2,791","2,266","525"
"333","8/12/2015","4,006","2,726","2,166","560"
"334","8/13/2015","3,827","2,639","2,133","506"
"335","8/14/2015","2,944","1,973","1,564","409"
"336","8/15/2015","1,827","1,193","954","239"
"337","8/16/2015","2,373","1,658","1,369","289"
"338","8/17/2015","4,031","2,763","2,290","473"
"339","8/18/2015","4,027","2,780","2,248","532"
"340","8/19/2015","3,912","2,795","2,291","504"
"341","8/20/2015","3,867","2,715","2,191","524"
"342","8/21/2015","3,304","2,238","1,806","432"
"343","8/22/2015","1,685","1,208","1,011","197"
"344","8/23/2015","2,130","1,542","1,282","260"
"345","8/24/2015","3,936","2,697","2,182","515"
"346","8/25/2015","4,029","2,744","2,203","541"
"347","8/26/2015","4,010","2,789","2,237","552"
"348","8/27/2015","4,027","2,890","2,392","498"
"349","8/28/2015","2,829","2,000","1,585","415"
"350","8/29/2015","1,736","1,227","1,023","204"
"351","8/30/2015","2,517","1,686","1,416","270"
"352","8/31/2015","4,029","2,769","2,299","470"
"353","9/1/2015","4,261","2,890","2,358","532"
"354","9/2/2015","4,058","2,923","2,442","481"
"355","9/3/2015","4,392","3,007","2,466","541"
"356","9/4/2015","3,072","2,221","1,846","375"
"357","9/5/2015","1,799","1,284","1,068","216"
"358","9/6/2015","2,341","1,611","1,345","266"
"359","9/7/2015","3,330","2,354","1,963","391"
"360","9/8/2015","4,734","3,381","2,833","548"
"361","9/9/2015","4,801","3,381","2,845","536"
"362","9/10/2015","4,399","3,079","2,575","504"
"363","9/11/2015","3,275","2,375","1,958","417"
"364","9/12/2015","2,042","1,429","1,223","206"
"365","9/13/2015","2,827","2,103","1,844","259"
"366","9/14/2015","4,836","3,437","2,954","483"
"367","9/15/2015","4,840","3,465","2,944","521"
"368","9/16/2015","4,504","3,356","2,902","454"
"369","9/17/2015","4,379","3,240","2,736","504"
"370","9/18/2015","3,391","2,428","2,024","404"
"371","9/19/2015","2,045","1,513","1,278","235"
"372","9/20/2015","2,721","2,081","1,817","264"
"373","9/21/2015","4,630","3,535","2,998","537"
"374","9/22/2015","4,748","3,540","3,004","536"
"375","9/23/2015","4,702","3,377","2,893","484"
"376","9/24/2015","4,440","3,309","2,827","482"
"377","9/25/2015","3,513","2,518","2,116","402"
"378","9/26/2015","2,253","1,633","1,395","238"
"379","9/27/2015","3,141","2,291","1,980","311"
"380","9/28/2015","5,122","3,808","3,289","519"
"381","9/29/2015","5,151","3,868","3,305","563"
"382","9/30/2015","4,969","3,703","3,182","521"
"383","10/1/2015","4,619","3,365","2,876","489"
"384","10/2/2015","3,443","2,598","2,196","402"
"385","10/3/2015","2,302","1,754","1,503","251"
"386","10/4/2015","3,291","2,506","2,173","333"
"387","10/5/2015","5,206","3,737","3,170","567"
"388","10/6/2015","5,474","3,940","3,337","603"
"389","10/7/2015","5,400","3,934","3,350","584"
"390","10/8/2015","5,334","3,821","3,244","577"
"391","10/9/2015","4,174","3,022","2,547","475"
"392","10/10/2015","2,571","1,853","1,597","256"
"393","10/11/2015","3,572","2,636","2,283","353"
"394","10/12/2015","5,018","3,788","3,241","547"
"395","10/13/2015","5,565","4,159","3,536","623"
"396","10/14/2015","5,420","4,048","3,403","645"
"397","10/15/2015","5,366","3,908","3,331","577"
"398","10/16/2015","4,091","3,002","2,507","495"
"399","10/17/2015","2,824","2,087","1,770","317"
"400","10/18/2015","3,843","2,825","2,441","384"
"401","10/19/2015","5,516","4,140","3,491","649"
"402","10/20/2015","5,572","4,121","3,460","661"
"403","10/21/2015","5,243","3,882","3,298","584"
"404","10/22/2015","5,133","3,720","3,104","616"
"405","10/23/2015","4,084","2,947","2,441","506"
"406","10/24/2015","2,739","1,978","1,647","331"
"407","10/25/2015","3,781","2,857","2,435","422"
"408","10/26/2015","5,684","4,073","3,417","656"
"409","10/27/2015","5,687","4,179","3,534","645"
"410","10/28/2015","5,906","4,266","3,614","652"
"411","10/29/2015","5,541","4,020","3,368","652"
"412","10/30/2015","4,171","3,043","2,501","542"
"413","10/31/2015","2,586","1,820","1,496","324"
"414","11/1/2015","3,838","2,922","2,456","466"
"415","11/2/2015","5,675","4,076","3,419","657"
"416","11/3/2015","5,624","4,178","3,504","674"
"417","11/4/2015","5,794","4,316","3,670","646"
"418","11/5/2015","5,389","4,031","3,379","652"
"419","11/6/2015","4,305","3,047","2,522","525"
"420","11/7/2015","3,281","2,202","1,854","348"
"421","11/8/2015","3,790","2,837","2,418","419"
"422","11/9/2015","5,894","4,203","3,487","716"
"423","11/10/2015","5,461","4,048","3,388","660"
"424","11/11/2015","5,206","3,869","3,219","650"
"425","11/12/2015","5,228","3,929","3,281","648"
"426","11/13/2015","4,097","2,971","2,436","535"
"427","11/14/2015","2,694","1,964","1,616","348"
"428","11/15/2015","3,893","2,930","2,483","447"
"429","11/16/2015","6,185","4,550","3,872","678"
"430","11/17/2015","6,178","4,503","3,795","708"
"431","11/18/2015","6,067","4,397","3,693","704"
"432","11/19/2015","5,656","4,166","3,487","679"
"433","11/20/2015","4,398","3,173","2,645","528"
"434","11/21/2015","2,836","2,086","1,741","345"
"435","11/22/2015","3,896","2,927","2,424","503"
"436","11/23/2015","5,814","4,236","3,543","693"
"437","11/24/2015","5,879","4,140","3,475","665"
"438","11/25/2015","4,800","3,457","2,836","621"
"439","11/26/2015","3,838","2,825","2,334","491"
"440","11/27/2015","3,576","2,579","2,118","461"
"441","11/28/2015","2,799","1,974","1,652","322"
"442","11/29/2015","4,228","3,127","2,605","522"
"443","11/30/2015","6,331","4,570","3,817","753"
"444","12/1/2015","6,380","4,743","4,027","716"
"445","12/2/2015","6,314","4,829","4,039","790"
"446","12/3/2015","6,160","4,584","3,835","749"
"447","12/4/2015","4,859","3,615","2,995","620"
"448","12/5/2015","3,317","2,468","2,040","428"
"449","12/6/2015","4,715","3,550","2,972","578"
"450","12/7/2015","6,940","5,136","4,303","833"
"451","12/8/2015","6,551","4,866","4,068","798"
"452","12/9/2015","6,327","4,761","3,961","800"
"453","12/10/2015","6,212","4,578","3,830","748"
"454","12/11/2015","4,687","3,388","2,771","617"
"455","12/12/2015","3,014","2,283","1,856","427"
"456","12/13/2015","4,132","3,064","2,548","516"
"457","12/14/2015","5,989","4,330","3,606","724"
"458","12/15/2015","5,331","3,967","3,309","658"
"459","12/16/2015","5,183","3,665","3,025","640"
"460","12/17/2015","4,769","3,515","2,917","598"
"461","12/18/2015","3,627","2,518","2,071","447"
"462","12/19/2015","1,857","1,319","1,087","232"
"463","12/20/2015","2,221","1,489","1,204","285"
"464","12/21/2015","3,335","2,335","1,906","429"
"465","12/22/2015","2,883","2,047","1,639","408"
"466","12/23/2015","2,353","1,621","1,312","309"
"467","12/24/2015","1,578","1,099","886","213"
"468","12/25/2015","1,017","724","586","138"
"469","12/26/2015","1,334","936","760","176"
"470","12/27/2015","1,690","1,155","947","208"
"471","12/28/2015","2,838","1,829","1,474","355"
"472","12/29/2015","2,815","1,786","1,419","367"
"473","12/30/2015","2,382","1,618","1,292","326"
"474","12/31/2015","1,587","1,035","809","226"
"475","1/1/2016","1,411","960","786","174"
"476","1/2/2016","1,838","1,197","969","228"
"477","1/3/2016","2,180","1,562","1,279","283"
"478","1/4/2016","3,587","2,494","2,037","457"
"479","1/5/2016","3,855","2,742","2,230","512"
"480","1/6/2016","3,840","2,628","2,127","501"
"481","1/7/2016","3,735","2,746","2,258","488"
"482","1/8/2016","3,223","2,286","1,860","426"
"483","1/9/2016","2,207","1,531","1,280","251"
"484","1/10/2016","2,814","2,000","1,661","339"
"485","1/11/2016","4,007","2,976","2,444","532"
"486","1/12/2016","4,119","2,961","2,385","576"
"487","1/13/2016","4,338","3,164","2,631","533"
"488","1/14/2016","4,432","2,962","2,418","544"
"489","1/15/2016","3,306","2,349","1,866","483"
"490","1/16/2016","2,223","1,557","1,262","295"
"491","1/17/2016","2,757","2,002","1,635","367"
"492","1/18/2016","4,047","2,898","2,373","525"
"493","1/19/2016","4,489","3,190","2,566","624"
"494","1/20/2016","4,588","3,232","2,656","576"
"495","1/21/2016","4,398","3,106","2,561","545"
"496","1/22/2016","3,340","2,455","1,990","465"
"497","1/23/2016","2,344","1,639","1,338","301"
"498","1/24/2016","2,973","2,094","1,736","358"
"499","1/25/2016","4,638","3,205","2,649","556"
"500","1/26/2016","4,791","3,409","2,834","575"
"501","1/27/2016","5,104","3,768","3,197","571"
"502","1/28/2016","4,621","3,439","2,876","563"
"503","1/29/2016","3,831","2,715","2,232","483"
"504","1/30/2016","2,295","1,690","1,400","290"
"505","1/31/2016","3,235","2,462","2,050","412"
"506","2/1/2016","4,918","3,640","3,060","580"
"507","2/2/2016","5,127","3,783","3,195","588"
"508","2/3/2016","4,794","3,575","2,999","576"
"509","2/4/2016","4,788","3,420","2,848","572"
"510","2/5/2016","3,948","2,727","2,256","471"
"511","2/6/2016","2,383","1,765","1,477","288"
"512","2/7/2016","2,950","2,231","1,839","392"
"513","2/8/2016","4,905","3,592","3,024","568"
"514","2/9/2016","5,353","3,931","3,299","632"
"515","2/10/2016","5,492","4,007","3,358","649"
"516","2/11/2016","5,052","3,628","3,019","609"
"517","2/12/2016","3,764","2,807","2,300","507"
"518","2/13/2016","2,458","1,788","1,459","329"
"519","2/14/2016","3,098","2,277","1,866","411"
"520","2/15/2016","4,951","3,652","3,039","613"
"521","2/16/2016","5,495","4,000","3,304","696"
"522","2/17/2016","5,505","4,062","3,375","687"
"523","2/18/2016","5,188","3,812","3,156","656"
"524","2/19/2016","4,002","2,932","2,377","555"
"525","2/20/2016","2,607","1,888","1,537","351"
"526","2/21/2016","3,906","2,838","2,355","483"
"527","2/22/2016","6,360","4,432","3,684","748"
"528","2/23/2016","6,046","4,460","3,714","746"
"529","2/24/2016","5,938","4,309","3,499","810"
"530","2/25/2016","5,325","3,892","3,199","693"
"531","2/26/2016","4,165","3,048","2,490","558"
"532","2/27/2016","2,829","2,096","1,726","370"
"533","2/28/2016","4,090","2,979","2,462","517"
"534","2/29/2016","5,734","4,224","3,493","731"
"535","3/1/2016","6,214","4,474","3,731","743"
"536","3/2/2016","5,906","4,333","3,597","736"
"537","3/3/2016","5,814","4,191","3,419","772"
"538","3/4/2016","4,507","3,188","2,624","564"
"539","3/5/2016","2,859","2,064","1,718","346"
"540","3/6/2016","3,897","2,806","2,326","480"
"541","3/7/2016","5,849","4,240","3,503","737"
"542","3/8/2016","6,264","4,526","3,743","783"
"543","3/9/2016","6,062","4,404","3,624","780"
"544","3/10/2016","5,685","4,159","3,415","744"
"545","3/11/2016","4,391","3,241","2,627","614"
"546","3/12/2016","2,880","2,046","1,638","408"
"547","3/13/2016","3,740","2,673","2,163","510"
"548","3/14/2016","5,710","4,261","3,469","792"
"549","3/15/2016","5,168","3,778","3,047","731"
"550","3/16/2016","5,577","4,062","3,287","775"
"551","3/17/2016","5,238","3,827","3,134","693"
"552","3/18/2016","3,931","2,871","2,320","551"
"553","3/19/2016","2,606","1,892","1,568","324"
"554","3/20/2016","3,149","2,410","2,028","382"
"555","3/21/2016","5,565","3,968","3,274","694"
"556","3/22/2016","5,281","3,770","3,035","735"
"557","3/23/2016","5,202","3,780","3,146","634"
"558","3/24/2016","4,581","3,203","2,649","554"
"559","3/25/2016","3,264","2,281","1,847","434"
