"","age","workclass","fnlwgt","education","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","incm.2.t.pred","test3[, 15]"
"37",48," Private",210424," HS-grad",9," Separated"," Adm-clerical"," Unmarried"," White"," Female",914,0,40," United-States"," <=50K"," <=50K"
"38",38," Private",97083," Some-college",10," Married-civ-spouse"," Adm-clerical"," Wife"," Black"," Female",0,0,40," United-States"," <=50K"," <=50K"
"39",44," Self-emp-not-inc",172479," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",15024,0,60," United-States"," >50K"," >50K"
"40",35," Private",207202," 10th",6," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,70," United-States"," <=50K"," <=50K"
"41",48," Private",36503," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"," >50K"
"42",46," Local-gov",375675," 12th",8," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,35," United-States"," <=50K"," >50K"
"43",52," Self-emp-inc",173754," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",15024,0,60," United-States"," >50K"," >50K"
"44",32," Private",45796," 12th",8," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"45",46," Private",170850," Bachelors",13," Divorced"," Machine-op-inspct"," Not-in-family"," White"," Male",0,1590,40," ?"," <=50K"," <=50K"
"46",71," Private",118876," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",0,0,14," United-States"," <=50K"," <=50K"
"47",52," Private",68982," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States"," >50K"," >50K"
"48",63," ?",156799," HS-grad",9," Widowed"," ?"," Not-in-family"," White"," Female",0,0,4," United-States"," <=50K"," <=50K"
"49",38," Private",292307," Bachelors",13," Married-spouse-absent"," Craft-repair"," Not-in-family"," Black"," Male",0,0,40," Dominican-Republic"," <=50K"," <=50K"
"50",19," ?",174233," Some-college",10," Never-married"," ?"," Own-child"," Black"," Male",0,0,24," United-States"," <=50K"," <=50K"
"51",27," Local-gov",133495," HS-grad",9," Never-married"," Prof-specialty"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"52",60," Private",174486," HS-grad",9," Widowed"," Machine-op-inspct"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"53",33," Private",180551," Some-college",10," Separated"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"54",39," Private",99270," HS-grad",9," Divorced"," Adm-clerical"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"55",28," Private",715938," Bachelors",13," Never-married"," Craft-repair"," Own-child"," Black"," Male",0,0,40," United-States"," <=50K"," <=50K"
"56",32," Private",163530," HS-grad",9," Divorced"," Other-service"," Unmarried"," Amer-Indian-Eskimo"," Female",0,0,40," United-States"," <=50K"," <=50K"
"57",23," Private",60331," Some-college",10," Never-married"," Transport-moving"," Not-in-family"," White"," Male",0,0,60," United-States"," <=50K"," <=50K"
"58",39," Self-emp-inc",163057," Some-college",10," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,99," United-States"," <=50K"," <=50K"
"59",62," ?",203126," 9th",5," Never-married"," ?"," Unmarried"," White"," Female",0,0,40," Dominican-Republic"," <=50K"," <=50K"
"60",28," Private",213276," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States"," <=50K"," <=50K"
"61",20," Private",203027," HS-grad",9," Never-married"," Farming-fishing"," Not-in-family"," White"," Male",0,0,55," United-States"," <=50K"," <=50K"
"62",33," Private",34975," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,45," United-States"," <=50K"," <=50K"
"63",24," ?",172152," Bachelors",13," Never-married"," ?"," Not-in-family"," Asian-Pac-Islander"," Male",0,0,25," Taiwan"," <=50K"," <=50K"
"64",17," Private",242773," 11th",7," Never-married"," Other-service"," Own-child"," White"," Female",0,0,20," United-States"," <=50K"," <=50K"
"65",33," Self-emp-not-inc",193246," HS-grad",9," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,55," France"," <=50K"," <=50K"
"66",33," Private",202046," Bachelors",13," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,2001,40," United-States"," <=50K"," <=50K"
"67",55," Local-gov",219775," HS-grad",9," Divorced"," Other-service"," Unmarried"," White"," Female",0,0,38," United-States"," <=50K"," <=50K"
"68",35," Private",188069," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",13550,0,55," ?"," >50K"," >50K"
"69",34," Private",228873," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,45," United-States"," >50K"," >50K"
"70",33," Private",340332," Bachelors",13," Separated"," Exec-managerial"," Not-in-family"," Black"," Female",0,0,45," United-States"," <=50K"," <=50K"
"71",30," Private",104052," HS-grad",9," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",0,1741,42," United-States"," <=50K"," <=50K"
"72",41," State-gov",73199," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",0,0,40," United-States"," >50K"," <=50K"
"73",26," Private",178140," Bachelors",13," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,45," United-States"," >50K"," >50K"
"74",17," Private",130795," 10th",6," Never-married"," Other-service"," Own-child"," White"," Male",0,0,20," United-States"," <=50K"," <=50K"
"75",68," Private",171933," 7th-8th",4," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"76",56," Self-emp-inc",184598," 9th",5," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,99," United-States"," <=50K"," <=50K"
"77",59," Private",121865," HS-grad",9," Divorced"," Other-service"," Not-in-family"," Black"," Female",0,0,40," United-States"," <=50K"," <=50K"
"78",32," Private",388672," Some-college",10," Divorced"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,16," United-States"," <=50K"," <=50K"
"79",34," Private",221167," Assoc-acdm",12," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,40," United-States"," <=50K"," >50K"
"80",46," Private",177633," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,50," United-States"," >50K"," >50K"
"81",42," Self-emp-not-inc",27661," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,45," United-States"," <=50K"," <=50K"
"82",45," Private",33300," Assoc-voc",11," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,1977,50," United-States"," >50K"," >50K"
"83",39," Private",56118," HS-grad",9," Divorced"," Other-service"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"84",54," Federal-gov",332243," 12th",8," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"85",24," Private",153082," HS-grad",9," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,30," United-States"," <=50K"," <=50K"
"86",57," Private",180920," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," >50K"
"87",59," State-gov",139616," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States"," >50K"," >50K"
"88",34," Private",188736," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Other-relative"," Other"," Female",0,0,20," Columbia"," <=50K"," <=50K"
"89",55," Self-emp-not-inc",124975," HS-grad",9," Divorced"," Craft-repair"," Unmarried"," White"," Male",27828,0,55," United-States"," >50K"," >50K"
"90",38," Self-emp-not-inc",53628," Assoc-voc",11," Divorced"," Exec-managerial"," Unmarried"," White"," Male",0,0,35," United-States"," <=50K"," <=50K"
"91",42," Private",202872," Some-college",10," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,12," United-States"," <=50K"," <=50K"
"92",41," Private",89226," HS-grad",9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"93",22," Private",60783," 10th",6," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,15," United-States"," <=50K"," <=50K"
"94",47," Private",105273," Bachelors",13," Widowed"," Craft-repair"," Unmarried"," Black"," Female",6497,0,40," United-States"," <=50K"," <=50K"
"95",60," Self-emp-not-inc",220342," 11th",7," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,35," United-States"," <=50K"," <=50K"
"96",28," Private",271572," 9th",5," Never-married"," Other-service"," Other-relative"," White"," Male",0,0,52," United-States"," <=50K"," <=50K"
"97",54," ?",169785," Masters",14," Never-married"," ?"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"98",48," State-gov",55863," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,1902,46," United-States"," >50K"," >50K"
"99",30," Private",158002," Some-college",10," Never-married"," Craft-repair"," Other-relative"," White"," Male",0,0,55," Ecuador"," <=50K"," <=50K"
"100",60," Private",239576," Masters",14," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,10," United-States"," <=50K"," <=50K"
"101",36," Federal-gov",210945," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,70," United-States"," >50K"," <=50K"
"102",44," Private",191256," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"103",33," Self-emp-not-inc",175502," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,60," United-States"," >50K"," <=50K"
"104",77," Private",154205," HS-grad",9," Widowed"," Adm-clerical"," Not-in-family"," White"," Female",0,0,10," United-States"," <=50K"," <=50K"
"105",63," Private",201631," 9th",5," Married-civ-spouse"," Farming-fishing"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"," <=50K"
"106",41," Private",126076," Some-college",10," Divorced"," Craft-repair"," Not-in-family"," White"," Female",0,0,50," United-States"," <=50K"," <=50K"
"107",24," Private",239663," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,15," United-States"," <=50K"," <=50K"
"108",51," Private",117253," HS-grad",9," Widowed"," Prof-specialty"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"109",54," Private",280292," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,32," United-States"," <=50K"," <=50K"
"110",18," Private",120544," 9th",5," Never-married"," Other-service"," Own-child"," Black"," Male",0,0,15," United-States"," <=50K"," <=50K"
"111",35," Private",153790," Some-college",10," Never-married"," Sales"," Not-in-family"," Amer-Indian-Eskimo"," Female",0,0,40," United-States"," <=50K"," <=50K"
"112",31," Private",106347," 11th",7," Separated"," Other-service"," Not-in-family"," Black"," Female",0,0,42," United-States"," <=50K"," <=50K"
"113",47," Private",119939," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," >50K"
"114",22," Private",85389," HS-grad",9," Never-married"," Tech-support"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"115",22," Private",147253," Some-college",10," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,15," United-States"," <=50K"," <=50K"
"116",30," Private",161572," HS-grad",9," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,45," United-States"," <=50K"," <=50K"
"117",49," Private",314773," Assoc-voc",11," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," >50K"," <=50K"
"118",53," Private",94081," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,44," United-States"," >50K"," >50K"
"119",36," Self-emp-not-inc",367020," 7th-8th",4," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,35," United-States"," <=50K"," <=50K"
"120",69," Private",203313," HS-grad",9," Widowed"," Other-service"," Not-in-family"," White"," Female",991,0,18," United-States"," <=50K"," <=50K"
"121",59," Private",99131," HS-grad",9," Widowed"," Prof-specialty"," Not-in-family"," White"," Female",0,0,18," United-States"," <=50K"," <=50K"
"122",24," Private",119704," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"123",54," Private",146310," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,50," United-States"," >50K"," <=50K"
"124",42," Private",194537," HS-grad",9," Divorced"," Machine-op-inspct"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"125",20," Private",312017," Some-college",10," Never-married"," Protective-serv"," Own-child"," White"," Male",0,0,40," Germany"," <=50K"," <=50K"
"126",45," State-gov",199326," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,45," United-States"," >50K"," >50K"
"127",18," Private",36251," 10th",6," Never-married"," Other-service"," Own-child"," White"," Female",0,0,15," United-States"," <=50K"," <=50K"
"128",30," Private",323069," Bachelors",13," Never-married"," Sales"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"129",22," State-gov",22966," Some-college",10," Married-spouse-absent"," Tech-support"," Unmarried"," White"," Male",0,0,20," United-States"," <=50K"," <=50K"
"130",32," Private",187901," Assoc-voc",11," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",0,0,23," United-States"," <=50K"," <=50K"
"131",44," Private",36271," Bachelors",13," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," >50K"," <=50K"
"132",51," Private",173987," 9th",5," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"133",22," Private",148187," 11th",7," Never-married"," Other-service"," Other-relative"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"134",27," Private",335421," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,20," United-States"," <=50K"," <=50K"
"135",43," Private",197810," Masters",14," Divorced"," Other-service"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"136",18," ?",115258," 11th",7," Never-married"," ?"," Own-child"," White"," Male",0,0,12," United-States"," <=50K"," <=50K"
"137",43," Private",216042," Some-college",10," Divorced"," Tech-support"," Own-child"," White"," Female",0,1617,72," United-States"," <=50K"," <=50K"
"138",32," Private",209538," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,55," United-States"," >50K"," >50K"
"139",22," Private",235853," 9th",5," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"140",29," Private",87523," HS-grad",9," Never-married"," Sales"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"141",41," Private",306405," Some-college",10," Married-civ-spouse"," Tech-support"," Wife"," White"," Female",0,0,40," United-States"," >50K"," <=50K"
"142",54," Self-emp-not-inc",105010," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"," >50K"
"143",32," Private",148207," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"144",33," Private",857532," 12th",8," Never-married"," Protective-serv"," Own-child"," Black"," Male",0,0,40," United-States"," <=50K"," <=50K"
"145",33," Private",79923," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,45," United-States"," >50K"," >50K"
"146",48," Federal-gov",100067," Some-college",10," Widowed"," Other-service"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"," <=50K"
"147",38," Private",150057," Some-college",10," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,45," United-States"," <=50K"," <=50K"
"148",56," Private",232139," HS-grad",9," Divorced"," Transport-moving"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"149",26," Private",266912," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," United-States"," <=50K"," >50K"
"150",66," Private",234743," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,24," United-States"," <=50K"," <=50K"
"151",26," Self-emp-inc",242651," Some-college",10," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,48," United-States"," <=50K"," <=50K"
"152",20," Private",215495," Some-college",10," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,40," Mexico"," <=50K"," <=50K"
"153",36," Private",177616," 5th-6th",3," Separated"," Machine-op-inspct"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"154",25," Private",191271," HS-grad",9," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"155",22," Private",171176," HS-grad",9," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,48," ?"," <=50K"," <=50K"
"156",47," Private",297884," 10th",6," Widowed"," Machine-op-inspct"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"157",42," Private",383493," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States"," >50K"," >50K"
"158",47," Private",246739," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",99999,0,55," United-States"," >50K"," >50K"
"159",61," Private",95929," 9th",5," Divorced"," Other-service"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"160",29," Private",77009," 11th",7," Separated"," Sales"," Not-in-family"," White"," Female",0,2754,42," United-States"," <=50K"," <=50K"
"161",58," Self-emp-not-inc",195835," Some-college",10," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,45," United-States"," <=50K"," <=50K"
"162",31," Self-emp-not-inc",156890," 7th-8th",4," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"163",32," Private",271276," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,80," United-States"," <=50K"," >50K"
"164",18," ?",297396," HS-grad",9," Never-married"," ?"," Own-child"," White"," Male",0,0,10," United-States"," <=50K"," <=50K"
"165",42," Local-gov",222596," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," >50K"
"166",17," Local-gov",246308," 11th",7," Never-married"," Prof-specialty"," Own-child"," White"," Female",0,0,20," Puerto-Rico"," <=50K"," <=50K"
"167",43," Private",160815," Assoc-voc",11," Divorced"," Prof-specialty"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"168",35," Private",149347," HS-grad",9," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,70," United-States"," <=50K"," <=50K"
"169",51," Private",355954," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,60," United-States"," >50K"," >50K"
"170",31," Private",136398," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male",0,0,50," Thailand"," >50K"," >50K"
"171",30," Private",227146," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," >50K"," >50K"
"172",19," Private",125010," HS-grad",9," Never-married"," Farming-fishing"," Own-child"," White"," Male",0,0,45," United-States"," <=50K"," <=50K"
"173",29," Private",107812," Some-college",10," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,15," United-States"," <=50K"," <=50K"
"174",32," ?",123971," 11th",7," Divorced"," ?"," Not-in-family"," White"," Female",0,0,49," United-States"," <=50K"," <=50K"
"175",24," Private",122348," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"176",41," Private",184466," 11th",7," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,55," United-States"," <=50K"," <=50K"
"177",32," Private",117963," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,45," United-States"," <=50K"," <=50K"
"178",25," Private",195201," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," Other"," Male",0,0,50," United-States"," <=50K"," <=50K"
"179",22," State-gov",121471," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"180",50," Private",146429," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"181",30," Private",131588," HS-grad",9," Never-married"," Craft-repair"," Not-in-family"," Black"," Female",0,0,45," United-States"," <=50K"," <=50K"
"182",61," ?",166855," Bachelors",13," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,10," United-States"," <=50K"," <=50K"
"183",40," Local-gov",233891," HS-grad",9," Never-married"," Adm-clerical"," Unmarried"," Black"," Female",0,0,35," United-States"," <=50K"," <=50K"
"184",48," Self-emp-inc",184787," 7th-8th",4," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,50," United-States"," <=50K"," >50K"
"185",37," Private",231180," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"186",55," Self-emp-not-inc",168625," Some-college",10," Divorced"," Tech-support"," Not-in-family"," White"," Female",0,0,12," United-States"," <=50K"," >50K"
"187",41," Private",266510," HS-grad",9," Never-married"," Other-service"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"188",72," ?",201375," Assoc-acdm",12," Widowed"," ?"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"189",29," Private",83742," HS-grad",9," Divorced"," Other-service"," Unmarried"," White"," Female",0,0,45," United-States"," <=50K"," <=50K"
"190",39," State-gov",152307," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," >50K"," <=50K"
"191",32," Private",125856," Assoc-acdm",12," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,60," United-States"," <=50K"," >50K"
"192",59," Private",381851," 9th",5," Widowed"," Other-service"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"," <=50K"
"193",48," Private",330470," Some-college",10," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,30," United-States"," <=50K"," <=50K"
"194",66," Private",205724," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,24," United-States"," <=50K"," >50K"
"195",37," Self-emp-not-inc",164526," Doctorate",16," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",14084,0,45," United-States"," >50K"," >50K"
